"UNIT_NAME","UNIT_ORDER","FIELD","UNIT_ACRES","OPERATOR_NAME","FORMATION","LUW_CODE","DISSOLVED_","TERMINATED"
"HA RA SUO","88-J-5","Holly","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RC SUJ","109-X-9","Red River_Bull Bayou","640.0","SWEPI, L.P.","Haynesville",,,
"HA RA SU58","361-L-29","Elm Grove","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUK","956-C-1","Haughton","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUYY","88-J-13","Holly","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUJ","88-J-3","Holly","640.0","EXCO Production Company, L.P.","Haynesville",,,
"HA RA SUK","496-L-2","Benson","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUE","361-L-6","Elm Grove","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SU66","191-H-30","Caspiana","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUB","270-MM-1","Greenwood_Waskom","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUU","994-D-3","Johnson Branch","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SU54","361-L-27","Elm Grove","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RB SUA","917-L","Bracky Branch","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SU70","191-H-65","Caspiana","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUI","122-Y-3","Caddo_Pine Island","640.0","Matador Production Company","Haynesville",,,
"HA RA SUA","691-C","Swan Lake","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUP","994-D-1","Johnson Branch","640.0","Fossil Operating, Inc.","Haynesville",,,
"HA RA SUGG","1199-E-11","Trenton","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUF","122-Y-3","Caddo_Pine Island","640.0","Matador Production Company","Haynesville",,,
"HA RA SUO","909-H-2","Gahagan","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUA","1407-C","Liberty","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUD","917-L","Bracky Branch","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUB","196-D-1","Bellevue","640.0","Diamond Oil, L.L.C.","Haynesville",,,
"HA RB SU68","109-X-67","Red River_Bull Bayou","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUI","990-D-2","Woodardville","640.0","Forest Oil Corporation","Haynesville",,,
"HA RA SU98","191-H-41","Caspiana","640.0","Palmer Petroleum, Inc.","Haynesville",,,
"HA RA SUXX","191-H-28","Caspiana","640.0","JW Operating Company","Haynesville",,,
"HA RA SUD","1407-C","Liberty","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SU53","270-MM-27","Greenwood_Waskom","640.0","Petrohawk Operating Company","Haynesville",,,
