ticker,title,category,category_type,yes_ask,yes_bid,no_ask,no_bid,ev_yes,ev_no,volume,days_to_resolution,daily_change,weekly_change
KXPERFORMBONDSONG-35-COL,Who will perform the next James Bond Song?,Entertainment,top_yes,5,0,95,100,1862.0,5.157894736842105,0.54,3243,0,0
KXNEWPOPE-35-PERD,Who will the next Pope be?,World,top_yes,5,1,95,99,1862.0,5.157894736842105,29.98,3243,0,400
KXAFRICALEADEROUT-35-PK,Will Paul Kagame leave office next in this set?,Politics,top_yes,5,0,95,100,1862.0,5.157894736842105,2.4,3243,0,400
KXAFRICALEADEROUT-35-TAS,Will Taye Atske Selassie leave office next in this set?,Politics,top_yes,5,1,95,99,1862.0,5.157894736842105,0.98,3243,0,0
KXTRILLIONAIRE-30-JH,Will Jensen Huang be the world's first trillionaire?,Economics,top_yes,5,3,95,97,1862.0,5.157894736842105,378.1,1417,0,-40
KXNEWPOPE-70-PERD,Who will the next Pope be?,World,top_yes,6,3,94,97,1535.3333333333333,6.25531914893617,104.58,16027,20,20
KXNEWPOPE-70-AARB,Who will the next Pope be?,World,recent_dips,6,3,94,97,1535.3333333333333,6.25531914893617,51.84,16027,-50,-40
KXXISUCCESSOR-45JAN01-WHUN,"Will Wang Huning become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",Politics,top_yes,6,0,94,100,1535.3333333333333,6.25531914893617,0.5,6895,0,0
KXXISUCCESSOR-45JAN01-HLIF,"Will He Lifeng become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",Politics,top_yes,6,0,94,100,1535.3333333333333,6.25531914893617,1.3,6895,0,400
KXNEXTISRAELPM-45JAN01-YLEV,Will Yariv Levin be the next Prime Minister of Israel?,Politics,top_yes,6,2,94,98,1535.3333333333333,6.25531914893617,15.48,6896,0,500
KXNEXTISRAELPM-45JAN01-IBEN,Will Itamar Ben-Gvir be the next Prime Minister of Israel?,Politics,top_yes,6,2,94,98,1535.3333333333333,6.25531914893617,13.040000000000001,6896,0,-60
KXG7LEADEROUT-45JAN01-DJT,Will President of the United States be the first to leave office?,Politics,top_yes,6,3,94,97,1535.3333333333333,6.25531914893617,43.76,6896,0,100
KXPERFORMBONDSONG-35-ARI,Who will perform the next James Bond Song?,Entertainment,top_yes,6,0,94,100,1535.3333333333333,6.25531914893617,1.2,3243,0,0
KXPERFORMBONDSONG-35-TAY,Who will perform the next James Bond Song?,Entertainment,top_yes,6,0,94,100,1535.3333333333333,6.25531914893617,4.0,3243,0,0
KXPERFORMBONDSONG-35-U2,Who will perform the next James Bond Song?,Entertainment,top_yes,6,0,94,100,1535.3333333333333,6.25531914893617,0.38,3243,0,0
KXPERFORMBONDSONG-35-ELT,Who will perform the next James Bond Song?,Entertainment,top_yes,6,0,94,100,1535.3333333333333,6.25531914893617,0.28,3243,0,0
KXPERFORMBONDSONG-35-LEW,Who will perform the next James Bond Song?,Entertainment,top_yes,6,1,94,99,1535.3333333333333,6.25531914893617,0.28,3243,0,0
KXMOONMAN-31-I,Which country will be the next to send humans to the Moon?,Science and Technology,top_yes,6,4,94,96,1535.3333333333333,6.25531914893617,53.14,1782,0,20
KXMOONMAN-31-E,Which country will be the next to send humans to the Moon?,Science and Technology,top_yes,6,3,94,97,1535.3333333333333,6.25531914893617,47.94,1782,0,0
USCLIMATE-2025,Will the US meet its climate goals?,Climate and Weather,top_yes,6,4,94,96,1535.3333333333333,6.25531914893617,780.26,1781,0,100
KXTVSEASONRELEASETHELASTOFUS-26-JUL,"When will ""The Last of Us"" Season 3 be released?",Entertainment,top_yes,6,2,94,98,1535.3333333333333,6.25531914893617,17.64,136,250,75
KXBOND-30-TOM,Will Tom Hardy be the next James Bond?,Entertainment,top_yes,6,0,94,100,1535.3333333333333,6.25531914893617,61.88,1417,0,0
KXBOND-30-HC,Will Henry Cavill be the next James Bond?,Entertainment,top_yes,6,3,94,97,1535.3333333333333,6.25531914893617,352.88,1417,0,-14.29
KXBOND-30-DI,Will Damson Idris be the next James Bond?,Entertainment,top_yes,6,0,94,100,1535.3333333333333,6.25531914893617,135.58,1417,0,-33.33
KXBOND-30-RM,Will Richard Madden be the next James Bond?,Entertainment,top_yes,6,0,94,100,1535.3333333333333,6.25531914893617,33.08,1417,0,0
KXBOND-30-REG,Will Reg̩-Jean Page be the next James Bond?,Entertainment,top_yes,6,0,94,100,1535.3333333333333,6.25531914893617,11.64,1417,0,0
KXBOND-30-CIL,Will Cillian Murphy be the next James Bond?,Entertainment,top_yes,6,0,94,100,1535.3333333333333,6.25531914893617,26.98,1417,0,0
KXBOND-30-JON,Will Jonathan Bailey be the next James Bond?,Entertainment,top_yes,6,2,94,98,1535.3333333333333,6.25531914893617,72.64,1417,0,-8.33
KXBOND-30-CHARL,Will Charlie Hunnam be the next James Bond?,Entertainment,top_yes,6,0,94,100,1535.3333333333333,6.25531914893617,11.6,1417,0,0
KXNEWPOPE-70-PPIZ,Who will the next Pope be?,World,top_yes,7,4,93,96,1302.0000000000002,7.376344086021505,65.3,16027,0,0
KXPERSONPRESMAM-45,Will  become President of the United States before 2045?,Politics,top_yes,7,5,93,95,1302.0000000000002,7.376344086021505,290.02,6924,0,40
KXXISUCCESSOR-45JAN01-YLI,"Will Yin Li become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",Politics,top_yes,7,0,93,100,1302.0000000000002,7.376344086021505,1.16,6895,0,500
KXXISUCCESSOR-45JAN01-ZGUO,"Will Zhang Guoqing become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",Politics,top_yes,7,0,93,100,1302.0000000000002,7.376344086021505,1.34,6895,0,400
KXNEXTISRAELPM-45JAN01-YGOL,Will Yair Golan be the next Prime Minister of Israel?,Politics,top_yes,7,2,93,98,1302.0000000000002,7.376344086021505,12.06,6896,0,0
KXNEXTIRANLEADER-45JAN01-AKHA,Will Ahmad Khatami be the next Supreme Leader of Iran?,Politics,top_yes,7,1,93,99,1302.0000000000002,7.376344086021505,8.2,6896,0,500
KXNEXTIRANLEADER-45JAN01-MMIR,Will Mohammad Mahdi Mirbagheri be the next Supreme Leader of Iran?,Politics,top_yes,7,2,93,98,1302.0000000000002,7.376344086021505,21.34,6896,0,0
KXPERFORMBONDSONG-35-SAM,Who will perform the next James Bond Song?,Entertainment,top_yes,7,0,93,100,1302.0000000000002,7.376344086021505,1.52,3243,0,0
KXPERFORMBONDSONG-35-CHA,Who will perform the next James Bond Song?,Entertainment,top_yes,7,0,93,100,1302.0000000000002,7.376344086021505,2.66,3243,0,500
KXAFRICALEADEROUT-35-JM,Will John Mahama leave office next in this set?,Politics,top_yes,7,2,93,98,1302.0000000000002,7.376344086021505,0.56,3243,0,0
KXAFRICALEADEROUT-35-AT,Will Abdelmadjid Tebboune leave office next in this set?,Politics,top_yes,7,2,93,98,1302.0000000000002,7.376344086021505,0.5,3243,0,0
KXMOONMAN-31-R,Which country will be the next to send humans to the Moon?,Science and Technology,top_yes,7,2,93,98,1302.0000000000002,7.376344086021505,70.66,1782,0,250
KXPRIMEENGCONSUMPTION-30-SOLAR,What will be the largest source of global primary energy consumption in 2030?,Climate and Weather,top_yes,7,6,93,94,1302.0000000000002,7.376344086021505,253.12,2511,16.67,-12.5
KXNEXTUKPM-30-ABUR,Will Andy Burnham be the next Prime Minister of United Kingdom?,Politics,top_yes,7,4,93,96,1302.0000000000002,7.376344086021505,509.24,1417,0,-44.44
KXNEXTUKPM-30-ACAR,Will Al Carns be the next Prime Minister of United Kingdom?,Politics,top_yes,7,4,93,96,1302.0000000000002,7.376344086021505,4.14,1417,0,0
KXEUEXITCOUNTRY-30-GER,Will Germany vote to leave the EU before 2030?,Politics,top_yes,7,0,93,100,1302.0000000000002,7.376344086021505,3.34,1417,0,0
KXEUEXITCOUNTRY-30-FRA,Will France vote to leave the EU before 2030?,Politics,top_yes,7,0,93,100,1302.0000000000002,7.376344086021505,4.68,1417,0,0
